DATAFLOW,LAST UPDATE,freq,c_dest,purpose,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Denmark,2023,74747121,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Denmark,2024,115275638,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2013,9611925,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2014,11539242,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2015,12191358,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2016,11833516,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2017,12451028,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2018,17920941,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2019,14434904,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2020,7104137,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2021,8073027,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2022,10999959,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2023,13720364,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Estonia,2024,15246978,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2013,55563413,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2014,60247379,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2015,54975525,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2016,53046915,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2017,59368259,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2018,66565271,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2019,61288888,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2020,56041259,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2021,59021976,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2022,67219935,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2023,64993656,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Greece,2024,68252758,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2013,610997292,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2014,582575255,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2015,561341240,b,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2016,592882573,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2017,603460042,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2018,600716796,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2019,604837478,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Spain,2020,376734928,,
